Дисплей Samsung Galaxy J3 J330 2017 с тачскрином, оригинал, Black;329946;1049;https://www.aks.ua//item/view/329946/displei-kran-dlya-telefona-samsung-galaxy-j3-j330f-2017-touchscreen-original-black.html
Дисплей LG G2 (34pin, D800, D801, D803, LS980, VS980) + Touchscreen with frame (original) Black;438259;499;https://www.aks.ua//item/view/438259/displei-lg-g2-34pin-d800-d801-d803-ls980-vs980-touchscreen-with-frame-original-black.html
Дисплей LG K10 M250 2017, K10 X400 2017 + Touchscreen with frame (original) Black;360170;579;https://www.aks.ua//item/view/360170/displei-kran-dlya-telefona-lg-k10-m250-2017-k10-x400-touchscreen-with-frame-original-black.html
Дисплей Nokia 3.2 Dual Sim (TA-1156, TA-1164) + Touchscreen (original) Black;468931;799;https://www.aks.ua//item/view/468931/displei-kran-dlya-telefona-nokia-3-2-dual-sim-ta-1156-ta-1164-touchscreen-original-black.html
Дисплей Google Pixel 3a + Touchscreen (original) Black;459236;2649;https://www.aks.ua//item/view/459236/displei-kran-dlya-telefona-google-pixel-3a-touchscreen-original-black.html
Дисплей Nokia 2.2 Dual Sim (TA-1183, TA-1188) + Touchscreen (original) Black;428012;599;https://www.aks.ua//item/view/428012/displei-kran-dlya-telefona-nokia-2-2-dual-sim-ta-1183-ta-1188-touchscreen-original-black.html
Дисплей LG K10 K410, K10 K420N, K10 K430DS, K10 K430DSF, K10 K430DSY, K10 MS428 (без микросхемы) + Touchscreen (original) White;399791;699;https://www.aks.ua//item/view/399791/displei-kran-dlya-telefona-lg-k10-k410-k10-k420n-k10-k430ds-k10-k430dsf-k10-k430dsy-k10-ms428-bez-mikroshemy-touchscreen-original-white.html
Дисплей LG X Power 2 K10 M320, M320G, M322, M327, X320, X500 + Touchscreen (original) Black;333771;529;https://www.aks.ua//item/view/333771/displei-kran-dlya-telefona-lg-x-power-2-k10-m320-x-power-2-k10-x500-touchscreen-original-black.html
Дисплей LG G6 H870, G6 H870K, G6 H871, G6 H872, G6 H873, G6 LS993, G6 US997, G6 VS998 + Touchscreen (original) Grey;333761;1199;https://www.aks.ua//item/view/333761/displei-kran-dlya-telefona-lg-g6-h870-g6-h870k-g6-h871-g6-h872-g6-h873-g6-ls993-g6-us997-g6-vs998-touchscreen-original-gray.html
Дисплей LG G6 H870, G6 H870K, G6 H871, G6 H872, G6 H873, G6 LS993, G6 US997, G6 VS998 + Touchscreen (original) Black;332958;1049;https://www.aks.ua//item/view/332958/displei-kran-dlya-telefona-lg-g6-h870-g6-h870k-g6-h871-g6-h872-g6-h873-g6-ls993-g6-us997-g6-vs998-touchscreen-original-black.html
Дисплей LG V30 H930, H931, H933, LS998U, US998, VS996 + Touchscreen (original) Black;332409;2299;https://www.aks.ua//item/view/332409/displei-kran-dlya-telefona-lg-v30-h930-touchscreen-original-black.html
Дисплей LG Q6 M700 Dual Sim, M700A, M700AN, M700DSK, M700N + Touchscreen (original) Black;332404;599;https://www.aks.ua//item/view/332404/displei-kran-dlya-telefona-lg-q6-m700-touchscreen-original-black.html
Дисплей LG L70 D320, L70 D321, L70 D325 Dual, L70 MS323 (original);160561;99;https://www.aks.ua//item/view/160561/displei-kran-dlya-telefona-lg-l70-d320-l70-d321-l70-d325-dual-l70-ms323-original.html
Дисплей LG G3 D850 LTE, G3 D851, G3 D855, G3 D856 Dual, G3 D858, G3 D859, G3 LS990 for Sprint, G3 VS985 + Touchscreen (original) Black;159072;399;https://www.aks.ua//item/view/159072/displei-krany-dlya-telefona-lg-g3-d855-touchscreen-original-black.html
Дисплей LG G2 (34pin, D800, D801, D803, LS980, VS980) + Touchscreen (original) Black;158522;599;https://www.aks.ua//item/view/158522/displei-krany-dlya-telefona-lg-g2-d800-g2-d801-g2-d803-ls980-vs980-touchscreen-original-black.html
